qid,question,colnames,category
Q1_1,How comfortable do you feel discussing about general DEI issues with: - Friends,dei_conversations,Friends
Q1_2,How comfortable do you feel discussing about general DEI issues with: - Family members,dei_conversations,Family members
Q1_3,How comfortable do you feel discussing about general DEI issues with: - peer EEMB graduate students,dei_conversations,peer EEMB graduate students
Q1_4,How comfortable do you feel discussing about general DEI issues with: - junior EEMB graduate students,dei_conversations,junior EEMB graduate students
Q1_5,How comfortable do you feel discussing about general DEI issues with: - senior EEMB graduate students,dei_conversations,senior EEMB graduate students
Q1_6,How comfortable do you feel discussing about general DEI issues with: - advising faculty,dei_conversations,advising faculty
Q1_7,How comfortable do you feel discussing about general DEI issues with: - non-advising EEMB faculty,dei_conversations,non-advising EEMB faculty
Q1_8,How comfortable do you feel discussing about general DEI issues with: - EEMB staff,dei_conversations,EEMB staff
Q1_9,How comfortable do you feel discussing about general DEI issues with: - Anonymous bias reporting on the EEMB DEI website,dei_conversations,Anonymous bias reporting on the EEMB DEI website
Q2,"Please elaborate on personal experiences or thoughts relating to the previous question.
(For example: Are there certain DEI issues you feel comfortable talking about with one group, but not with others? If there are differences in comfort levels between groups, why do you think those differences exist?)",dei_conversations_longanswer,
Q3_1,Do you personally feel well supported - academically by the department,personally_supported,academically by the department
Q3_2,Do you personally feel well supported - financially by the department,personally_supported,financially by the department
Q3_3,Do you personally feel well supported - mentally and emotionally by the department,personally_supported,mentally and emotionally by the department
Q4_1,"Do you think any of the following are issues in the EEMB department?
Underrepresented background: belonging to an identity group that has been historically and systematically excluded from higher education and other rights or opportunities, and is therefore currently less present or less visible in our department than they would be if the demographics of our community matched those of the broader population. - Lack of graduate students from underrepresented backgrounds",eemb_issues, Lack of graduate students from underrepresented backgrounds
Q4_2,"Do you think any of the following are issues in the EEMB department?
Underrepresented background: belonging to an identity group that has been historically and systematically excluded from higher education and other rights or opportunities, and is therefore currently less present or less visible in our department than they would be if the demographics of our community matched those of the broader population. - Bias against graduate students from underrepresented backgrounds",eemb_issues,Bias against graduate students from underrepresented backgrounds
Q4_3,"Do you think any of the following are issues in the EEMB department?
Underrepresented background: belonging to an identity group that has been historically and systematically excluded from higher education and other rights or opportunities, and is therefore currently less present or less visible in our department than they would be if the demographics of our community matched those of the broader population. - General lack of support for graduate students from underrepresented backgrounds",eemb_issues,General lack of support for graduate students from underrepresented backgrounds
Q4_4,"Do you think any of the following are issues in the EEMB department?
Underrepresented background: belonging to an identity group that has been historically and systematically excluded from higher education and other rights or opportunities, and is therefore currently less present or less visible in our department than they would be if the demographics of our community matched those of the broader population. - Lack of invited speakers from underrepresented backgrounds",eemb_issues,Lack of invited speakers from underrepresented backgrounds
Q4_5,"Do you think any of the following are issues in the EEMB department?
Underrepresented background: belonging to an identity group that has been historically and systematically excluded from higher education and other rights or opportunities, and is therefore currently less present or less visible in our department than they would be if the demographics of our community matched those of the broader population. - Lack of faculty from underrepresented backgrounds",eemb_issues,Lack of faculty from underrepresented backgrounds
